Positie,Land,Punten,Jaar
1,Finland,7.809,2020
2,Denemarken,7.646,2020
3,Zwitserland,7.56,2020
4,IJsland,7.504,2020
5,Noorwegen,7.488,2020
6,Nederland,7.449,2020
7,Zweden,7.353,2020
8,Nieuw-Zeeland,7.3,2020
9,Oostenrijk,7.294,2020
10,Luxemburg,7.238,2020
11,Canada,7.232,2020
12,Australië,7.223,2020
13,Verenigd Koninkrijk,7.165,2020
14,Israël,7.129,2020
15,Costa Rica,7.121,2020
16,Ierland,7.094,2020
17,Duitsland,7.076,2020
18,Verenigde Staten,6.94,2020
19,Tsjechië,6.911,2020
20,België,6.864,2020
21,Verenigde Arabische Emiraten,6.791,2020
22,Malta,6.773,2020
23,Frankrijk,6.664,2020
24,Mexico,6.465,2020
25,Taiwan,6.455,2020
26,Uruguay,6.44,2020
27,Saoedi-Arabië,6.406,2020
28,Spanje,6.401,2020
29,Guatemala,6.399,2020
30,Italië,6.387,2020
31,Singapore,6.377,2020
32,Brazilië,6.376,2020
33,Slovenië,6.363,2020
34,El Salvador,6.348,2020
35,Kosovo,6.325,2020
36,Panama,6.305,2020
37,Slowakije,6.281,2020
38,Oezbekistan,6.258,2020
39,Chili,6.228,2020
40,Bahrein,6.227,2020
41,Litouwen,6.215,2020
42,Trinidad en Tobago,6.192,2020
43,Polen,6.186,2020
44,Colombia,6.163,2020
45,Cyprus,6.159,2020
46,Nicaragua,6.137,2020
47,Romania,6.124,2020
48,Koeweit,6.102,2020
49,Mauritius,6.101,2020
50,Kazachstan,6.058,2020
51,Estland,6.022,2020
52,Filipijnen,6.006,2020
53,Hongarije,6.0,2020
54,Thailand,5.999,2020
55,Argentinië,5.975,2020
56,Honduras,5.953,2020
57,Letland,5.95,2020
58,Ecuador,5.925,2020
59,Portugal,5.911,2020
60,Jamaica,5.89,2020
61,Zuid-Korea,5.872,2020
62,Japan,5.871,2020
63,Peru,5.797,2020
64,Servië,5.778,2020
65,Bolivia,5.747,2020
66,Pakistan,5.693,2020
67,Paraguay,5.692,2020
68,Dominicaanse Republiek,5.689,2020
69,Bosnië en Herzegovina,5.674,2020
70,Moldavië,5.608,2020
71,Tadzjikistan,5.556,2020
72,Montenegro,5.546,2020
73,Rusland,5.546,2020
74,Kirgizië,5.542,2020
75,Wit-Rusland,5.54,2020
76,Noord-Cyprus,5.536,2020
77,Griekenland,5.515,2020
78,Hongkong,5.51,2020
79,Kroatië,5.505,2020
80,Libië,5.489,2020
81,Mongolië,5.456,2020
82,Maleisië,5.384,2020
83,Vietnam,5.353,2020
84,Indonesië,5.286,2020
85,Ivoorkust,5.233,2020
86,Benin,5.216,2020
87,Maldiven,5.198,2020
88,Congo-Brazzaville,5.194,2020
89,Azerbeidzjan,5.165,2020
90,Noord-Macedonië,5.16,2020
91,Ghana,5.148,2020
92,Nepal,5.137,2020
93,Turkije,5.132,2020
94,China,5.124,2020
95,Turkmenistan,5.119,2020
96,Bulgarije,5.102,2020
97,Marokko,5.095,2020
98,Kameroen,5.085,2020
99,Venezuela,5.053,2020
100,Algerije,5.005,2020
101,Senegal,4.981,2020
102,Guinee,4.949,2020
103,Niger,4.91,2020
104,Laos,4.889,2020
105,Albanië,4.883,2020
106,Cambodja,4.848,2020
107,Bangladesh,4.833,2020
108,Gabon,4.829,2020
